park_name,capacity,cur_parking,cur_parking_time,available_parking,count,date,hour,day_of_week,is_weekend,park_type_BP,park_type_BS,park_type_NP,park_type_NS,park_type_NW,que_status_20분,que_status_2시간,que_status_2일,available_parking_less_than_zero
헬리오시티상가 주차장,466,520,2024-10-02 16:30:01,-54,821,2024-10-02 07:38:54,16,2,False,False,True,False,False,False,True,False,False,5
빌라드그리움 주차장,30,29,2024-10-02 16:38:39,1,822,2024-10-02 07:38:55,16,2,False,False,True,False,False,False,True,False,False,0
새마을운동중앙회빌딩,127,90,2024-10-02 16:38:42,37,824,2024-10-02 07:38:58,16,2,False,False,True,False,False,False,True,False,False,66
아르고주차장,33,33,2024-10-02 16:38:45,0,828,2024-10-02 07:39:02,16,2,False,False,True,False,False,False,True,False,False,104
위워크 선릉3호점 주차장,73,54,2024-10-02 16:38:40,19,829,2024-10-02 07:39:03,16,2,False,False,True,False,False,False,True,False,False,43
역삼아이타워,76,41,2024-10-02 16:39:00,35,830,2024-10-02 07:39:03,16,2,False,False,True,False,False,False,True,False,False,0
센터필드 주차장,889,692,2024-10-02 16:30:01,197,832,2024-10-02 07:39:05,16,2,False,False,True,False,False,False,True,False,False,0
역삼아르누보씨티,88,53,2024-10-02 16:38:38,35,833,2024-10-02 07:39:05,16,2,False,False,True,False,False,False,True,False,False,32
롯데백화점 강남점 주차장,523,386,2024-10-02 16:30:00,137,847,2024-10-02 07:39:24,16,2,False,False,True,False,False,False,True,False,False,0
가락몰 주차장,2020,1119,2024-10-02 16:39:21,901,853,2024-10-02 07:39:29,16,2,False,False,True,False,False,False,True,False,False,0
한화생명 서초사옥(드림플러스),128,123,2024-10-02 16:39:08,5,862,2024-10-02 07:39:43,16,2,False,False,True,False,False,False,True,False,False,0
현대기림오피스텔,80,45,2024-10-02 16:38:39,35,863,2024-10-02 07:39:45,16,2,False,False,True,False,False,False,True,False,False,66
오퓨런스[서초역 1번출구],122,65,2024-10-02 16:39:41,57,864,2024-10-02 07:39:47,16,2,False,False,True,False,False,False,True,False,False,0
린스퀘어 주차장,299,157,2024-10-02 16:38:59,142,870,2024-10-02 07:39:54,16,2,False,False,True,False,False,False,True,False,False,0
에피소드 서초 393 주차장,256,133,2024-10-02 16:30:01,123,872,2024-10-02 07:39:58,16,2,False,False,True,False,False,False,True,False,False,0
우제빌딩 주차장,24,24,2024-10-02 16:38:42,0,874,2024-10-02 07:40:02,16,2,False,False,True,False,False,False,True,False,False,86
GS건설 서초타워,185,86,2024-10-02 16:39:26,99,880,2024-10-02 07:40:07,16,2,False,False,True,False,False,False,True,False,False,0
가든파이브 라이프,3752,1846,2024-10-02 16:40:05,1906,882,2024-10-02 07:40:08,16,2,False,False,True,False,False,False,True,False,False,0
제이프러스빌딩,110,59,2024-10-02 16:40:06,51,885,2024-10-02 07:40:13,16,2,False,False,True,False,False,False,True,False,False,0
팜모드 주차장,45,45,2024-10-02 16:40:00,0,897,2024-10-02 07:40:27,16,2,False,False,True,False,False,False,True,False,False,61
이마트 양재점[양재시민의숲역 2호점],649,282,2024-10-02 16:40:27,367,898,2024-10-02 07:40:27,16,2,False,False,True,False,False,False,True,False,False,0
